Eval#,A_Cell_D,B_Barrier_Type,C_Barrier_Thx,D_Barrier_Outer_Type,E_Barrier_Outer_Thx,F_ThermalResin_Thx,TP_NoTP,MaxT_TB,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power
17,19.85882914,Si1,0.280977651,PU,2.613141404,0.656007532,0,249.3674314,242.7187642,-4.90E-04,0.052183594,1140.4908,,
18,14.63158697,Si1,1.229881219,Si1,1.641879334,1.998996283,0,238.4422592,236.4786524,-0.008533888,0.052095936,1084.051907,,
1,16.78068264,Si1,1.081651134,PU,2.659453408,2.418020776,1,338.7576356,805.197561,-0.012721377,0.002872569,1246.211867,Itr_6,
2,18.96002964,Si1,1.153219184,PU,1.700664287,0.615345063,0,298.6726574,322.7662115,-4.65E-04,0.052231642,1275.230481,,
5,15.26102304,Si1,0.69323442,Si1,2.184787468,1.157287569,0,311.1344113,342.0559209,-0.005585634,0.05226629,1319.154459,,
6,14.40566057,Si1,0.669211582,Si1,2.140298669,1.194167913,0,298.8591283,325.0714283,-0.002456941,0.052173371,1310.050982,,
7,13.37095884,Si1,0.61231664,Si1,2.311380693,1.202704651,0,283.6167607,308.7266748,-0.004226612,0.05220992,1302.048451,,
8,16.24192967,Si1,1.034719675,PU,2.836829483,2.45307944,1,323.5419706,864.815727,-0.016272828,0.008334863,1244.39636,,
9,18.06512585,Si1,1.198694927,PU,1.598650678,1.491708837,1,345.5852507,837.0720716,-0.003982304,0.003982304,1268.119489,,
10,18.71312628,Si1,0.27157531,Si1,2.619539444,0.549089124,1,310.8736549,793.05913,-0.002293391,0.021557878,1509.57147,,
11,18.55507794,Si1,0.335776361,Si1,2.989788387,0.570845492,1,310.7597528,943.8347379,-0.002273635,0.026828893,1464.410377,,
12,16.41921662,Si1,1.108257857,PU,2.423502709,2.499755728,1,330.715406,598.3790411,-0.006822617,0.006822617,1242.653882,,
1,13.6368787,Si1,0.717727595,Si1,2.981605223,1.717556195,0,285.1825758,312.4151281,-0.003649492,0.052078216,1253.216849,,
2,19.75793317,Si1,0.272611517,Si1,2.733720361,2.256634037,1,318.984565,638.0938713,-0.002423991,0.031511886,1529.881377,,
3,17.70499914,Si1,1.129362736,Si1,2.143116421,2.41375859,1,365.1560728,762.1742574,-0.005635175,-0.009969925,1243.767249,,
4,14.54908344,Si1,0.958273435,PU,1.372886549,1.275212291,0,287.770515,309.5760846,-0.003191193,0.052084121,1285.802784,,
5,12.37710817,Si1,1.987657647,PU,2.961481709,0.521367511,0,212.714978,206.5603013,-0.007506944,0.052324164,984.4194067,,
6,17.1408545,Si1,0.378257851,PU,1.910054157,1.691169519,1,319.1262111,891.2898158,-0.001258114,0.034807814,1492.235435,,
1,18.6286891,Si1,1.126303295,PU,1.96995875,1.145404045,1,349.8069209,598.6571462,-0.003195971,0.003195971,1282.317461,Itr_7,
2,19.78662156,Si1,1.325105509,Si1,2.212254194,1.971143976,1,355.2046734,813.9323627,-0.00436964,-0.002427578,1255.794575,,
3,18.61275312,Si1,1.227752461,PU,1.842628606,1.416394244,1,349.3898927,804.8323699,-0.004105519,0.003193181,1267.792332,,
4,19.53151999,Si1,1.421791953,Si1,1.303872737,1.548386718,0,314.8494542,337.7797039,-0.00239569,0.052073452,1250.701931,,
5,19.93128699,Si1,1.393228795,Si1,1.800337824,1.537367946,1,336.7534198,563.4557688,0.001467397,-0.003423926,1253.96473,,
7,12.60947937,Si1,0.955207622,Si1,1.664970979,2.21561784,0,275.3740817,304.800602,-0.006427827,0.052217395,1238.45242,,
8,12.08568815,Si1,0.962425332,Si1,1.927878942,2.347201992,0,270.3116685,299.2056028,-0.004394884,0.05227631,1216.753154,,
9,17.96092902,Si1,1.107686596,Si1,1.363062406,1.340274759,1,332.5732044,560.6413472,-0.003958859,0.012756324,1285.019822,,
10,17.43127223,Si1,0.830177781,Si1,1.482126491,0.676916825,1,319.6742858,650.4057883,-0.004692949,0.015785375,1345.430828,,
11,17.23269435,Si1,0.823415233,Si1,1.297272513,0.669894481,1,313.0772992,850.790165,-0.003795005,0.014758354,1356.976908,,
12,14.54432754,Si1,0.915840235,Si1,1.113532784,1.646397771,1,307.1219711,605.7507498,-0.00815254,0.015241705,1303.491768,,
13,14.67378354,Si1,0.754380307,Si1,1.278033402,1.265496244,1,305.4322678,682.8084395,-0.006080808,0.020388592,1336.775663,,
14,18.61331961,Si1,0.953054577,Si1,2.942399654,1.794251168,1,355.4805912,916.2151176,-0.005930379,0.004105647,1281.956442,,
15,16.53604347,Si1,0.881140829,Si1,2.984837611,2.209890412,0,308.2268579,326.2535392,-0.004446762,0.052072069,1262.432552,,
16,18.37581937,Si1,1.135842721,PU,2.189837672,1.510284137,1,338.5446758,674.5646914,-0.00405221,-0.003151719,1269.49173,,
17,18.66643182,Si1,1.996294353,Si1,2.888453319,0.525042345,0,227.3460593,216.6664289,-0.001372532,0.052278113,1063.045266,,
18,12.20441057,Si1,1.578487221,Si1,2.507328496,2.350181421,0,235.9094985,236.226273,-0.004439404,0.052244502,1047.355309,,
